"License Number","Status","Type| Dup","Expir. Date","Primary Owner and Premises Addr.","Mailing Addr.","Action","Conditions","Escrow","District Code","Geo Code","Prem Street","City","County","Zip Code","Mailing Street","Mailing City","Mailing Zip Code","Mailing State"
"651462","Active","47 | 3","11/30/2024","DBA: UCLA LAKE ARROWHEAD LODGE                            HAMMER F&B LLC                             850 WILLOW CREEK RD,                             LAKE ARROWHEAD, CA  92352","10899 WILSHIRE BLVD                              LOS ANGELES, CA  90024-4343","ORI","A","","7","3600","850 WILLOW CREEK RD","LAKE ARROWHEAD","36","92352","10899 WILSHIRE BLVD","LOS ANGELES","90024","CA"
"651462","Active","77 | 3","11/30/2024","DBA: UCLA LAKE ARROWHEAD LODGE                            HAMMER F&B LLC                             850 WILLOW CREEK RD,                             LAKE ARROWHEAD, CA  92352","10899 WILSHIRE BLVD                              LOS ANGELES, CA  90024-4343","ORI","A","","7","3600","850 WILLOW CREEK RD","LAKE ARROWHEAD","36","92352","10899 WILSHIRE BLVD","LOS ANGELES","90024","CA"
"651462","Active","68 | 3","11/30/2024","DBA: UCLA LAKE ARROWHEAD LODGE                            HAMMER F&B LLC                             850 WILLOW CREEK RD,                             LAKE ARROWHEAD, CA  92352","10899 WILSHIRE BLVD                              LOS ANGELES, CA  90024-4343","ORI","A","","7","3600","850 WILLOW CREEK RD","LAKE ARROWHEAD","36","92352","10899 WILSHIRE BLVD","LOS ANGELES","90024","CA"
"651462","Active","58 | 3","11/30/2024","DBA: UCLA LAKE ARROWHEAD LODGE                            HAMMER F&B LLC                             850 WILLOW CREEK RD,                             LAKE ARROWHEAD, CA  92352","10899 WILSHIRE BLVD                              LOS ANGELES, CA  90024-4343","ORI","A","","7","3600","850 WILLOW CREEK RD","LAKE ARROWHEAD","36","92352","10899 WILSHIRE BLVD","LOS ANGELES","90024","CA"
"651900","Active","21 | 0","11/30/2024","DBA: KORKER LIQUOR                            LOUIS, BASSAM FOUAD                             2229 E COAST HWY,                             NEWPORT BEACH, CA  92625","2916 HAWKS POINTE DR                              FULLERTON, CA  92833-5504","PER","","DETAIL ESCROW, NC. 13737 ARTESIA BLVD  #105 CERRITOS, CA  90703","11","3013","2229 E COAST HWY","NEWPORT BEACH","30","92625","2916 HAWKS POINTE DR","FULLERTON","92833","CA"
"653222","Active","20 | 0","06/30/2024","DBA: 7-ELEVEN STORE 41640A                            7 ELEVEN INC                             1687 E 8TH ST,                             BEAUMONT, CA  92223","PO BOX 139044, ATTN: LICENSING DEPARTMENT                              DALLAS, TX  75313-9044","PER","7","","8","3302","1687 E 8TH ST","BEAUMONT","33","92223","PO BOX 139044, ATTN: LICENSING DEPARTMENT","DALLAS","75313","TX"
"653254","Active","20 | 0","11/30/2024","DBA: SONNY'S CIGARS AND WINE AT RANCHO SANTA FE                            YAKO HANO, SINAN AZIZ                             6030 LA FLECHA,                             RANCHO SANTA FE, CA  92067","PO BOX 7314, 6030 LA FLECHA                              RANCHO SANTA FE, CA  92067-7314","ORI","","","9","3700","6030 LA FLECHA","RANCHO SANTA FE","37","92067","PO BOX 7314, 6030 LA FLECHA","RANCHO SANTA FE","92067","CA"
"653779","Active","41 | 0","11/30/2024","DBA: SHRIMP SEAFOOD                            SILVER BEACH GRAND CORP                              10720 FOOTHILL BLVD, STE 100,                             RANCHO CUCAMONGA, CA  91730-3807","608 DEODAR LN                              BRADBURY, CA  91008-1109","ORI","","","7","3615","10720 FOOTHILL BLVD, STE 100","RANCHO CUCAMONGA","36","91730","608 DEODAR LN","BRADBURY","91008","CA"
"653806","Active","41 | 0","11/30/2024","CHASE K HOSPITALITY GROUP LLC                             235 N SEPULVEDA BLVD,                             MANHATTAN BEACH, CA  90266","2011 MORGAN LN                              REDONDO BEACH, CA  90278","ORI","7","","3","1935","235 N SEPULVEDA BLVD","MANHATTAN BEACH","19","90266","2011 MORGAN LN","REDONDO BEACH","90278","CA"
"654023","Active","41 | 0","11/30/2024","DBA: MARISCOS COLIMA SEAFOOD RESTAURANT                            SABORR INC                             101 E GLENN AVE, STE J,                             MODESTO, CA  95358-6131","","PER","","","29","5002","101 E GLENN AVE, STE J","MODESTO","50","95358","","","",""
"654035","Active","02 | 0","06/30/2024","DWELLEY FAMILY WINES, LLC                              800 BUSINESS PARK DR, STE G,                             DIXON, CA  95620","1525 PALMER CT                              DIXON, CA  95620","ORI","","","22","4802","800 BUSINESS PARK DR, STE G","DIXON","48","95620","1525 PALMER CT","DIXON","95620","CA"
"654156","Active","20 | 0","06/30/2024","DBA: 7-ELEVEN STORE 38603A                            7 ELEVEN INC                             2904 VAN BUREN BLVD,                             RIVERSIDE, CA  92503","PO BOX 139044, ATTN: LICENSING DEPARTMENT                              DALLAS, TX  75313-9044","PER","","7 ELEVEN INC PO BOX 139044 ATTN: LICENSING DEPARTMENT DALLAS, TX  75313-9044","7","3312","2904 VAN BUREN BLVD","RIVERSIDE","33","92503","PO BOX 139044, ATTN: LICENSING DEPARTMENT","DALLAS","75313","TX"
"654213","Issued-Temp.","30","04/11/2024","DBA: SUPER LIQUOR                            LIQUOR GUYS INC.                             1600 TULLY RD,                             MODESTO, CA  95350-4031","2306 EAST ST                              TRACY, CA  95376-2710","PER","7","OLD REPUBLIC TITLE 1000 BURNETT AVE STE 400 CONCORD, CA  94520-2088","29","5002","1600 TULLY RD","MODESTO","50","95350","2306 EAST ST","TRACY","95376","CA"
"654216","Active","14 | 0","01/31/2024","DBA: PLANET EXPRESS LLC                            PLANET EXPRESS SHIPPING LLC                             1985 DEL AMO BLVD,                             TORRANCE, CA  90501","17224 S FIGUEROA ST                              GARDENA, CA  90248","PRM","","","3","1958","1985 DEL AMO BLVD","TORRANCE","19","90501","17224 S FIGUEROA ST","GARDENA","90248","CA"
"654609","Issued-Temp.","30","04/11/2024","DBA: 7-ELEVEN STORE 36983C                            7 ELEVEN INC                             8495 WESTERN AVE,                             BUENA PARK, CA  90620-3224","PO BOX 139044, ATTN: LICENSING DEPARTMENT                              DALLAS, TX  75313-9044","PER","7","7-ELEVEN INC 330 E LAMBERT RD STE 150 BREA, CA  92821-4128","11","3003","8495 WESTERN AVE","BUENA PARK","30","90620","PO BOX 139044, ATTN: LICENSING DEPARTMENT","DALLAS","75313","TX"
"654736","Issued-Temp.","30","04/11/2024","DBA: 7 ELEVEN #20473A                            7 ELEVEN INC                             2222 TARAVAL ST,                             SAN FRANCISCO, CA  94116","PO BOX 139044                              DALLAS, TX  75313-9044","PER","","7 ELEVEN INC PO BOX 139044 ATTEN: LICENSING DEPARTMENT DALLAS, TX  75313-9044","24","3800","2222 TARAVAL ST","SAN FRANCISCO","38","94116","PO BOX 139044","DALLAS","75313","TX"
"655070","Issued-Temp.","30","04/11/2024","DBA: PALMS LIQUOR STORE                            V&S INVESTMENTS PARTNERS LLC                             1207 CHESTER AVE,                             BAKERSFIELD, CA  93301","8605 SANTA MONICA BLVD #122983                              WEST HOLLYWOOD, CA  90069","PER","","PLACER TITLE COMPANY 3900 COFFEE RD STE 7 BAKERSFIELD, CA  93308-5051","6","1501","1207 CHESTER AVE","BAKERSFIELD","15","93301","8605 SANTA MONICA BLVD #122983","WEST HOLLYWOOD","90069","CA"
"655107","Issued-Temp.","30","04/11/2024","DBA: CIRCLE BAR                            ZACKY BEVERAGES, LLC                             2926 MAIN ST,                             SANTA MONICA, CA  90405-5340","","PER","7","UNITED ESCROW 3440 WILSHIRE BLVD STE 600 LOS ANGELES, CA  90010","3","1953","2926 MAIN ST","SANTA MONICA","19","90405","","","",""
"655124","Issued-Temp.","30","04/11/2024","DBA: LINDA PATRIA                            RUEDA, DANIEL JR                             1321 SPRINGS RD,                             VALLEJO, CA  94591-5444","","PER","","","22","4807","1321 SPRINGS RD","VALLEJO","48","94591","","","",""
"655127","Issued-Temp.","30","04/11/2024","DBA: FARMHOUSE INN & RESTAURANT THE                            SCARIF ENTERPRISES, LLC                             7871 RIVER RD,                             FORESTVILLE, CA  95436-9494","36 STATE ST                              SANTA BARBARA, CA  93101-4983","PER","","CALIFORNIA BUSINESS ESCROW 1748 MAIN ST ESCALON, CA  95320-1927","27","4900","7871 RIVER RD","FORESTVILLE","49","95436","36 STATE ST","SANTA BARBARA","93101","CA"
"655130","Issued-Temp.","30","04/11/2024","DBA: AANGAN                            PSM MAHANKAL INC                             854 & 856 SAN PABLO AVE,                             ALBANY, CA  94706-1603","856 SAN PABLO AVE                              ALBANY, CA  94706","PER","","OLD REPUBLIC TITLE  1000 BURNETT AVE STE 400 CONCORD, CA  94520-2088","22","0102","854 & 856 SAN PABLO AVE","ALBANY","01","94706","856 SAN PABLO AVE","ALBANY","94706","CA"
"655151","Issued-Temp.","30","04/11/2024","DBA: HAUNTED HEAD SALOON                            HAUNTED HEAD SALOON LLC                             207 N TREMONT ST,                             OCEANSIDE, CA  92054","","PER","7","","9","3709","207 N TREMONT ST","OCEANSIDE","37","92054","","","",""
